dataset,embedding_model,size,policy,cache_size_pct,max_cache_size,workload,seed,n_queries,n_stream,final_hit_rate,semantic_coverage_avg_dist,avg_query_time_ms,stream_time_s,n_evictions,policy_stats_json
lmsys,all-MiniLM-L6-v2,100k,lru,0.1,3000,temporal,42,30000,21000,0.417333,0.721296,0.6013,12.628,12236,{}
lmsys,all-MiniLM-L6-v2,100k,lfu,0.1,3000,temporal,42,30000,21000,0.435524,0.698289,0.7182,15.082,11854,{}
lmsys,all-MiniLM-L6-v2,100k,semantic,0.1,3000,temporal,42,30000,21000,0.422286,0.729195,2.5255,53.035,12132,"{""alpha"": 1.0, ""avg_eviction_time_ms"": 1.5087, ""beta"": 1.0, ""dynamic_impute"": true, ""max_redundancy"": 0.010003, ""mean_redundancy"": 0.000182, ""mu"": 0.1, ""n_evictions"": 12132, ""n_recomputes"": 16, ""recompute_interval"": 2000, ""seed"": 42, ""similarity_threshold"": 0.9, ""total_eviction_time_s"": 18.303}"
lmsys,all-MiniLM-L6-v2,100k,adaptive_hard,0.1,3000,temporal,42,30000,21000,0.434476,0.699031,2.9488,61.925,11876,"{""arm_counts"": {""lfu"": 11451, ""lru"": 2, ""semantic"": 423}, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00033211, ""last_density_threshold"": 0.00033211, ""last_frequency_skew"": 90.680099, ""last_selected_arm"": ""lfu"", ""min_observations"": 50, ""n_recomputes"": 15, ""similarity_threshold"": 0.9}"
lmsys,all-MiniLM-L6-v2,100k,adaptive_blend,0.1,3000,temporal,42,30000,21000,0.422238,0.729382,3.8171,80.16,12133,"{""base_recency_weight"": 1.0, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00017984, ""last_density_threshold"": 0.00017984, ""last_frequency_skew"": 114.316345, ""last_victim"": 689, ""last_weights"": {""frequency"": 1.0, ""recency"": 1.0, ""semantic"": 4.354508753579012e-08}, ""max_frequency_weight"": 1.0, ""max_semantic_weight"": 2.0, ""min_observations"": 50, ""n_recomputes"": 16, ""similarity_threshold"": 0.9}"
