dataset,embedding_model,size,embeddings_path,queries_path,max_queries,policy,cache_size_pct,max_cache_size,workload,seed,n_queries,n_warmup,n_stream,final_hit_rate,n_hits,n_misses,semantic_coverage_avg_dist,build_time_s,stream_time_s,coverage_time_s,avg_query_time_ms,n_evictions,n_rebuilds,policy_stats_json
lmsys,all-MiniLM-L6-v2,100k,results/embeddings/100k_embeddings.npy,data/100k_queries.parquet,30000,lru,0.1,3000,temporal,42,30000,3000,21000,0.417333,8764,12236,0.721296,0.151,12.628,0.06,0.6013,12236,16,{}
lmsys,all-MiniLM-L6-v2,100k,results/embeddings/100k_embeddings.npy,data/100k_queries.parquet,30000,lfu,0.1,3000,temporal,42,30000,3000,21000,0.435524,9146,11854,0.698289,0.077,15.082,0.06,0.7182,11854,15,{}
lmsys,all-MiniLM-L6-v2,100k,results/embeddings/100k_embeddings.npy,data/100k_queries.parquet,30000,semantic,0.1,3000,temporal,42,30000,3000,21000,0.422286,8868,12132,0.729195,2.744,53.035,0.058,2.5255,12132,16,"{""alpha"": 1.0, ""avg_eviction_time_ms"": 1.5087, ""beta"": 1.0, ""dynamic_impute"": true, ""max_redundancy"": 0.010003, ""mean_redundancy"": 0.000182, ""mu"": 0.1, ""n_evictions"": 12132, ""n_recomputes"": 16, ""recompute_interval"": 2000, ""seed"": 42, ""similarity_threshold"": 0.9, ""total_eviction_time_s"": 18.303}"
lmsys,all-MiniLM-L6-v2,100k,results/embeddings/100k_embeddings.npy,data/100k_queries.parquet,30000,adaptive_hard,0.1,3000,temporal,42,30000,3000,21000,0.434476,9124,11876,0.699031,2.803,61.925,0.06,2.9488,11876,15,"{""arm_counts"": {""lfu"": 11451, ""lru"": 2, ""semantic"": 423}, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00033211, ""last_density_threshold"": 0.00033211, ""last_frequency_skew"": 90.680099, ""last_selected_arm"": ""lfu"", ""min_observations"": 50, ""n_recomputes"": 15, ""similarity_threshold"": 0.9}"
lmsys,all-MiniLM-L6-v2,100k,results/embeddings/100k_embeddings.npy,data/100k_queries.parquet,30000,adaptive_blend,0.1,3000,temporal,42,30000,3000,21000,0.422238,8867,12133,0.729382,2.794,80.16,0.09,3.8171,12133,16,"{""base_recency_weight"": 1.0, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00017984, ""last_density_threshold"": 0.00017984, ""last_frequency_skew"": 114.316345, ""last_victim"": 689, ""last_weights"": {""frequency"": 1.0, ""recency"": 1.0, ""semantic"": 4.354508753579012e-08}, ""max_frequency_weight"": 1.0, ""max_semantic_weight"": 2.0, ""min_observations"": 50, ""n_recomputes"": 16, ""similarity_threshold"": 0.9}"
