dataset,embedding_model,size,embeddings_path,queries_path,max_queries,policy,cache_size_pct,max_cache_size,workload,seed,n_queries,n_warmup,n_stream,final_hit_rate,n_hits,n_misses,semantic_coverage_avg_dist,build_time_s,stream_time_s,coverage_time_s,avg_query_time_ms,n_evictions,n_rebuilds,policy_stats_json
moss,all-MiniLM-L6-v2,100k,results/embeddings/moss/all-MiniLM-L6-v2/100k_embeddings.npy,data/moss/100k_queries.parquet,30000,lru,0.1,3000,temporal,42,30000,3000,21000,0.93119,19555,1445,0.544278,0.15,6.972,0.058,0.332,1445,1,{}
moss,all-MiniLM-L6-v2,100k,results/embeddings/moss/all-MiniLM-L6-v2/100k_embeddings.npy,data/moss/100k_queries.parquet,30000,lfu,0.1,3000,temporal,42,30000,3000,21000,0.93119,19555,1445,0.544278,0.08,7.357,0.056,0.3503,1445,1,{}
moss,all-MiniLM-L6-v2,100k,results/embeddings/moss/all-MiniLM-L6-v2/100k_embeddings.npy,data/moss/100k_queries.parquet,30000,semantic,0.1,3000,temporal,42,30000,3000,21000,0.93119,19555,1445,0.544278,2.697,16.116,0.057,0.7674,1445,1,"{""alpha"": 1.0, ""avg_eviction_time_ms"": 4.1973, ""beta"": 1.0, ""dynamic_impute"": true, ""max_redundancy"": 0.012004, ""mean_redundancy"": 0.000265, ""mu"": 0.1, ""n_evictions"": 1445, ""n_recomputes"": 1, ""recompute_interval"": 2000, ""seed"": 42, ""similarity_threshold"": 0.9, ""total_eviction_time_s"": 6.065}"
moss,all-MiniLM-L6-v2,100k,results/embeddings/moss/all-MiniLM-L6-v2/100k_embeddings.npy,data/moss/100k_queries.parquet,30000,adaptive_hard,0.1,3000,temporal,42,30000,3000,21000,0.93119,19555,1445,0.544278,2.787,13.241,0.056,0.6305,1445,1,"{""arm_counts"": {""lfu"": 1397, ""lru"": 16, ""semantic"": 32}, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00023497, ""last_density_threshold"": 0.00025253, ""last_frequency_skew"": 80.821121, ""last_selected_arm"": ""lfu"", ""min_observations"": 50, ""n_recomputes"": 1, ""similarity_threshold"": 0.9}"
moss,all-MiniLM-L6-v2,100k,results/embeddings/moss/all-MiniLM-L6-v2/100k_embeddings.npy,data/moss/100k_queries.parquet,30000,adaptive_blend,0.1,3000,temporal,42,30000,3000,21000,0.93119,19555,1445,0.544278,2.786,15.038,0.056,0.7161,1445,1,"{""base_recency_weight"": 1.0, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00023497, ""last_density_threshold"": 0.00025253, ""last_frequency_skew"": 80.821121, ""last_victim"": 706, ""last_weights"": {""frequency"": 1.0, ""recency"": 1.0, ""semantic"": 0.0}, ""max_frequency_weight"": 1.0, ""max_semantic_weight"": 2.0, ""min_observations"": 50, ""n_recomputes"": 1, ""similarity_threshold"": 0.9}"
