dataset,embedding_model,size,policy,cache_size_pct,max_cache_size,workload,seed,n_queries,n_stream,final_hit_rate,semantic_coverage_avg_dist,avg_query_time_ms,stream_time_s,n_evictions,policy_stats_json
moss,all-MiniLM-L6-v2,100k,lru,0.1,3000,temporal,42,30000,21000,0.93119,0.544278,0.332,6.972,1445,{}
moss,all-MiniLM-L6-v2,100k,lfu,0.1,3000,temporal,42,30000,21000,0.93119,0.544278,0.3503,7.357,1445,{}
moss,all-MiniLM-L6-v2,100k,semantic,0.1,3000,temporal,42,30000,21000,0.93119,0.544278,0.7674,16.116,1445,"{""alpha"": 1.0, ""avg_eviction_time_ms"": 4.1973, ""beta"": 1.0, ""dynamic_impute"": true, ""max_redundancy"": 0.012004, ""mean_redundancy"": 0.000265, ""mu"": 0.1, ""n_evictions"": 1445, ""n_recomputes"": 1, ""recompute_interval"": 2000, ""seed"": 42, ""similarity_threshold"": 0.9, ""total_eviction_time_s"": 6.065}"
moss,all-MiniLM-L6-v2,100k,adaptive_hard,0.1,3000,temporal,42,30000,21000,0.93119,0.544278,0.6305,13.241,1445,"{""arm_counts"": {""lfu"": 1397, ""lru"": 16, ""semantic"": 32}, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00023497, ""last_density_threshold"": 0.00025253, ""last_frequency_skew"": 80.821121, ""last_selected_arm"": ""lfu"", ""min_observations"": 50, ""n_recomputes"": 1, ""similarity_threshold"": 0.9}"
moss,all-MiniLM-L6-v2,100k,adaptive_blend,0.1,3000,temporal,42,30000,21000,0.93119,0.544278,0.7161,15.038,1445,"{""base_recency_weight"": 1.0, ""density_floor"": 0.0001, ""density_threshold_scale"": 1.0, ""frequency_skew_threshold"": 1.5, ""last_density"": 0.00023497, ""last_density_threshold"": 0.00025253, ""last_frequency_skew"": 80.821121, ""last_victim"": 706, ""last_weights"": {""frequency"": 1.0, ""recency"": 1.0, ""semantic"": 0.0}, ""max_frequency_weight"": 1.0, ""max_semantic_weight"": 2.0, ""min_observations"": 50, ""n_recomputes"": 1, ""similarity_threshold"": 0.9}"
